Sample Number	Value
240	1.03935
241	1.03935
242	-0.748638
243	-0.748638
244	-1.23903
245	-1.23903
246	0.795489
247	0.795489
248	0.560524
249	0.560524
250	1.08987
251	1.08987
252	-0.668151
253	-0.668151
254	-0.867445
255	-0.867445
256	1.14403
257	1.14403
258	0.871963
259	0.871963
260	0.955994
261	0.955994
262	-1.2317
263	-1.2317
264	-1.00375
265	-1.00375
266	-1.00184
267	-1.00184
268	-1.01515
269	-1.01515
270	0.776927
271	0.776927
272	-0.633283
273	-0.633283
274	-1.04949
275	-1.04949
276	-1.13973
277	-1.13973
278	-0.76395
279	-0.76395
280	1.13972
281	1.13972
282	1.19064
283	1.19064
284	-0.969653
285	-0.969653
286	-1.09157
287	-1.09157
288	-0.9679
289	-0.9679
290	0.655237
291	0.655237
292	-0.454721
293	-0.454721
294	-1.04479
295	-1.04479
296	-1.2073
297	-1.2073
298	-0.958174
299	-0.958174
300	-0.763604
301	-0.763604
302	-1.037
303	-1.037
304	-0.451767
305	-0.451767
306	-0.852238
307	-0.852238
308	-0.995145
309	-0.995145
310	-1.17543
311	-1.17543
312	-0.929431
313	-0.929431
314	-1.05654
315	-1.05654
316	-1.19924
317	-1.19924
318	-1.14753
319	-1.14753
320	-0.986695
321	-0.986695
322	-0.809395
323	-0.809395
324	-1.0431
325	-1.0431
326	0.992419
327	0.992419
328	-0.997328
329	-0.997328
330	0.744481
331	0.744481
332	1.111
333	1.111
334	-0.923993
335	-0.923993
336	-0.87367
337	-0.87367
338	-1.12849
339	-1.12849
340	-0.356273
341	-0.356273
342	0.659876
343	0.659876
344	-0.991226
345	-0.991226
346	0.756268
347	0.756268
348	-1.32205
349	-1.32205
350	-0.801599
351	-0.801599
352	1.19044
353	1.19044
354	-0.927823
355	-0.927823
356	1.22506
357	1.22506
358	-0.985914
359	-0.985914
360	-0.815611
361	-0.815611
362	1.31413
363	1.31413
364	-0.822208
365	-0.822208
366	-1.07685
367	-1.07685
368	-0.75166
369	-0.75166
370	-1.08101
371	-1.08101
372	0.981464
373	0.981464
374	-0.494755
375	-0.494755
376	-0.848521
377	-0.848521
378	-1.30997
379	-1.30997
380	-1.17984
381	-1.17984
382	0.765606
383	0.765606
384	-0.965595
385	-0.965595
386	-0.90255
387	-0.90255
388	-1.00867
389	-1.00867
390	-0.821048
391	-0.821048
392	0.490096
393	0.490096
394	-0.751021
395	-0.751021
396	-0.942449
397	-0.942449
398	1.24304
399	1.24304
400	0.801103
401	0.801103
402	-0.944888
403	-0.944888
404	1.00861
405	1.00861
406	0.911789
407	0.911789
408	0.819118
409	0.819118
410	1.17939
411	1.17939
412	0.914315
413	0.914315
414	-0.999477
415	-0.999477
416	-1.2889
417	-1.2889
418	-0.912325
419	-0.912325
420	0.988319
421	0.988319
422	-0.950815
423	-0.950815
424	0.741512
425	0.741512
426	0.933082
427	0.933082
428	0.937511
429	0.937511
430	1.0749
431	1.0749
432	-0.949824
433	-0.949824
434	-0.940068
435	-0.940068
436	1.00915
437	1.00915
438	-0.657728
439	-0.657728
440	0.953792
441	0.953792
442	-0.730569
443	-0.730569
444	-0.820912
445	-0.820912
446	0.552214
447	0.552214
448	0.722293
449	0.722293
450	1.09664
451	1.09664
452	-0.846229
453	-0.846229
454	-1.09588
455	-1.09588
456	0.790268
457	0.790268
458	1.02909
459	1.02909
460	0.661259
461	0.661259
462	-0.44037
463	-0.44037
464	-0.827085
465	-0.827085
466	1.05203
467	1.05203
468	1.03823
469	1.03823
470	-0.786812
471	-0.786812
472	-0.444886
473	-0.444886
474	-0.819328
475	-0.819328
476	0.960009
477	0.960009
478	-1.00671
479	-1.00671
480	0.706273
481	0.706273
482	0.959043
483	0.959043
484	-1.1984
485	-1.1984
486	-0.939238
487	-0.939238
488	-0.710484
489	-0.710484
490	1.04562
491	1.04562
492	0.740449
493	0.740449
494	-1.00457
495	-1.00457
496	0.0350873
497	0.0350873
498	-0.926084
499	-0.926084
500	1.15784
501	1.15784
502	0.97143
503	0.97143
504	-1.16534
505	-1.16534
506	0.55353
507	0.55353
508	-1.01348
509	-1.01348
510	-1.17658
511	-1.17658
512	0.882397
513	0.882397
514	-0.953715
515	-0.953715
516	-0.933221
517	-0.933221
518	0.664218
519	0.664218
520	-0.728934
521	-0.728934
522	1.02654
523	1.02654
524	-0.785987
525	-0.785987
526	0.974809
527	0.974809
528	0.87029
529	0.87029
530	-0.671505
531	-0.671505
532	-1.21957
533	-1.21957
534	-0.742163
535	-0.742163
536	1.0689
537	1.0689
538	0.903372
539	0.903372
540	-0.833953
541	-0.833953
542	0.504218
543	0.504218
544	1.1769
545	1.1769
546	-1.05509
547	-1.05509
548	0.941059
549	0.941059
550	-1.23797
551	-1.23797
552	1.2802
553	1.2802
554	-0.917275
555	-0.917275
556	0.931401
557	0.931401
558	0.669467
559	0.669467
560	-0.931876
561	-0.931876
562	-0.959595
563	-0.959595
564	0.746463
565	0.746463
566	0.803065
567	0.803065
568	0.942154
569	0.942154
570	-0.875117
571	-0.875117
572	-1.06288
573	-1.06288
574	1.02042
575	1.02042
576	1.0164
577	1.0164
578	0.969544
579	0.969544
580	-0.952155
581	-0.952155
582	0.864148
583	0.864148
584	1.11829
585	1.11829
586	0.817894
587	0.817894
588	0.837575
589	0.837575
590	-1.20554
591	-1.20554
592	0.981269
593	0.981269
594	0.810507
595	0.810507
596	-0.469365
597	-0.469365
598	-1.00528
599	-1.00528
600	1.25277
601	1.25277
602	0.981065
603	0.981065
604	0.974573
605	0.974573
606	-1.2202
607	-1.2202
608	1.05269
609	1.05269
610	0.764401
611	0.764401
612	0.996046
613	0.996046
614	0.796936
615	0.796936
616	-0.678974
617	-0.678974
618	0.842125
619	0.842125
620	-0.580023
621	-0.580023
622	0.449903
623	0.449903
624	-0.759112
625	-0.759112
626	0.86417
627	0.86417
628	0.798579
629	0.798579
630	-0.895634
631	-0.895634
632	0.85633
633	0.85633
634	-0.703037
635	-0.703037
636	1.05003
637	1.05003
638	-0.947019
639	-0.947019
640	-0.223601
641	-0.223601
642	0.757358
643	0.757358
644	0.594283
645	0.594283
646	-0.583638
647	-0.583638
648	-1.30046
649	-1.30046
650	0.772887
651	0.772887
652	-1.101
653	-1.101
654	0.983041
655	0.983041
656	0.778189
657	0.778189
658	-1.18181
659	-1.18181
660	-1.05099
661	-1.05099
662	-1.03225
663	-1.03225
664	0.967619
665	0.967619
666	0.977502
667	0.977502
668	-1.10694
669	-1.10694
670	-1.29814
671	-1.29814
672	0.878132
673	0.878132
674	0.511476
675	0.511476
676	-1.26503
677	-1.26503
678	0.774718
679	0.774718
680	-0.824383
681	-0.824383
682	-0.36732
683	-0.36732
684	-1.26157
685	-1.26157
686	-1.05099
687	-1.05099
688	-1.19264
689	-1.19264
690	0.870678
691	0.870678
692	-0.885228
693	-0.885228
694	-0.408554
695	-0.408554
696	1.01071
697	1.01071
698	-0.858732
699	-0.858732
700	0.902226
701	0.902226
702	-0.750457
703	-0.750457
704	-1.1705
705	-1.1705
706	-1.12745
707	-1.12745
708	-0.724093
709	-0.724093
710	0.778891
711	0.778891
712	-1.08201
713	-1.08201
714	-1.20639
715	-1.20639
716	-0.869879
717	-0.869879
718	0.915776
719	0.915776
720	0.918909
721	0.918909
722	-1.07818
723	-1.07818
724	1.12422
725	1.12422
726	-1.21565
727	-1.21565
728	1.08313
729	1.08313
730	1.03001
731	1.03001
732	-0.477266
733	-0.477266
734	-1.00341
735	-1.00341
736	-0.618291
737	-0.618291
738	-1.01669
739	-1.01669
740	-0.731466
741	-0.731466
742	0.750395
743	0.750395
744	1.04662
745	1.04662
746	-0.767276
747	-0.767276
748	-1.17649
749	-1.17649
750	-0.96655
751	-0.96655
752	1.23396
753	1.23396
754	1.03322
755	1.03322
756	-1.01752
757	-1.01752
758	0.864501
759	0.864501
760	-1.06305
761	-1.06305
762	-0.895034
763	-0.895034
764	0.966142
765	0.966142
766	-1.06845
767	-1.06845
768	-1.06846
769	-1.06846
770	-1.1076
771	-1.1076
772	0.636733
773	0.636733
774	-0.853684
775	-0.853684
776	-0.923744
777	-0.923744
778	-1.0445
779	-1.0445
780	0.989552
781	0.989552
782	0.861183
783	0.861183
784	-0.937701
785	-0.937701
786	0.863813
787	0.863813
788	-0.739954
789	-0.739954
790	0.943061
791	0.943061
792	1.12179
793	1.12179
794	-1.16602
795	-1.16602
796	-1.26834
797	-1.26834
798	-0.91943
799	-0.91943
800	1.00942
801	1.00942
802	1.16425
803	1.16425
804	-0.647111
805	-0.647111
806	1.28931
807	1.28931
808	1.16488
809	1.16488
810	1.07773
811	1.07773
812	1.23081
813	1.23081
814	-1.03162
815	-1.03162
816	1.11145
817	1.11145
818	0.922766
819	0.922766
820	1.17784
821	1.17784
822	-0.752567
823	-0.752567
824	-1.05546
825	-1.05546
826	0.960499
827	0.960499
828	0.8509
829	0.8509
830	1.00619
831	1.00619
832	-1.10305
833	-1.10305
834	-1.16033
835	-1.16033
836	-0.794136
837	-0.794136
838	0.856731
839	0.856731
840	0.805238
841	0.805238
842	-1.22516
843	-1.22516
844	-0.944198
845	-0.944198
846	1.00105
847	1.00105
848	1.0102
849	1.0102
850	0.787238
851	0.787238
852	-1.0913
853	-1.0913
854	-1.1743
855	-1.1743
856	0.845571
857	0.845571
858	1.10466
859	1.10466
860	0.959143
861	0.959143
862	0.940742
863	0.940742
864	0.788748
865	0.788748
866	0.881852
867	0.881852
868	1.15684
869	1.15684
870	1.06396
871	1.06396
872	1.18745
873	1.18745
874	0.900452
875	0.900452
876	1.04415
877	1.04415
878	0.964485
879	0.964485
880	0.828894
881	0.828894
882	-1.11445
883	-1.11445
884	0.773384
885	0.773384
886	1.1254
887	1.1254
888	1.02372
889	1.02372
890	1.24713
891	1.24713
892	0.985812
893	0.985812
894	0.995995
895	0.995995
896	1.12957
897	1.12957
898	0.595226
899	0.595226
900	1.00102
901	1.00102
902	0.933807
903	0.933807
904	1.15383
905	1.15383
906	0.994263
907	0.994263
908	1.01377
909	1.01377
910	1.09587
911	1.09587
912	1.03058
913	1.03058
914	-0.715054
915	-0.715054
916	1.28008
917	1.28008
918	-0.908985
919	-0.908985
920	-1.10672
921	-1.10672
922	1.10744
923	1.10744
924	0.493953
925	0.493953
926	1.13249
927	1.13249
928	-1.12627
929	-1.12627
930	-0.833483
931	-0.833483
932	0.72762
933	0.72762
934	-1.13176
935	-1.13176
936	1.02872
937	1.02872
938	1.09678
939	1.09678
940	-0.854187
941	-0.854187
942	0.256199
943	0.256199
944	-0.822783
945	-0.822783
946	1.13318
947	1.13318
948	1.09193
949	1.09193
950	-0.942505
951	-0.942505
952	1.08083
953	1.08083
954	-0.494831
955	-0.494831
956	0.981901
957	0.981901
958	0.789684
959	0.789684
960	-1.05267
961	-1.05267
962	0.803401
963	0.803401
964	1.03837
965	1.03837
966	0.891222
967	0.891222
968	1.00431
969	1.00431
970	-0.909696
971	-0.909696
972	-0.723573
973	-0.723573
974	0.864391
975	0.864391
976	0.879987
977	0.879987
978	-1.29335
979	-1.29335
980	-0.961378
981	-0.961378
982	-0.77751
983	-0.77751
984	0.944579
985	0.944579
986	-1.11537
987	-1.11537
988	-0.500675
989	-0.500675
990	1.12947
991	1.12947
992	-1.08507
993	-1.08507
994	1.04993
995	1.04993
996	0.964057
997	0.964057
998	-1.20468
999	-1.20468
1000	1.04703
1001	1.04703
1002	-0.845197
1003	-0.845197
1004	1.00973
1005	1.00973
1006	0.985515
1007	0.985515
1008	-0.937557
1009	-0.937557
1010	-1.20307
1011	-1.20307
1012	0.887294
1013	0.887294
1014	1.06582
1015	1.06582
1016	0.970142
1017	0.970142
1018	-0.70174
1019	-0.70174
1020	-0.299125
1021	-0.299125
1022	-1.35249
1023	-1.35249
1024	-0.786605
1025	-0.786605
1026	0.780245
1027	0.780245
1028	1.35542
1029	1.35542
1030	-0.542621
1031	-0.542621
1032	0.976275
1033	0.976275
1034	0.8772
1035	0.8772
1036	1.22708
1037	1.22708
1038	1.16051
1039	1.16051
1040	-1.11076
1041	-1.11076
1042	0.819703
1043	0.819703
1044	0.911795
1045	0.911795
1046	-1.23941
1047	-1.23941
1048	1.08005
1049	1.08005
1050	-1.18766
1051	-1.18766
1052	1.14438
1053	1.14438
1054	1.07566
1055	1.07566
1056	-0.716664
1057	-0.716664
1058	-1.07584
1059	-1.07584
1060	-1.04881
1061	-1.04881
1062	-0.944882
1063	-0.944882
1064	0.807782
1065	0.807782
1066	-0.892258
1067	-0.892258
1068	-0.956886
1069	-0.956886
1070	-1.06886
1071	-1.06886
1072	-0.675243
1073	-0.675243
1074	0.945612
1075	0.945612
1076	-1.16516
1077	-1.16516
1078	-0.833719
1079	-0.833719
1080	-1.20845
1081	-1.20845
1082	0.89239
1083	0.89239
1084	1.23548
1085	1.23548
1086	-0.703355
1087	-0.703355
1088	-1.00476
1089	-1.00476
1090	-0.933299
1091	-0.933299
1092	0.557753
1093	0.557753
1094	1.00411
1095	1.00411
1096	-1.08582
1097	-1.08582
1098	1.0314
1099	1.0314
1100	-0.988905
1101	-0.988905
1102	0.776519
1103	0.776519
1104	1.03123
1105	1.03123
1106	-1.14045
1107	-1.14045
1108	0.896978
1109	0.896978
1110	-1.13026
1111	-1.13026
1112	0.518435
1113	0.518435
1114	0.825532
1115	0.825532
1116	-0.241986
1117	-0.241986
1118	-1.04797
1119	-1.04797
1120	-0.548456
1121	-0.548456
1122	0.966533
1123	0.966533
1124	0.854951
1125	0.854951
1126	-0.695834
1127	-0.695834
1128	-1.14131
1129	-1.14131
1130	-0.970851
1131	-0.970851
1132	-1.11411
1133	-1.11411
1134	0.924659
1135	0.924659
1136	-0.954419
1137	-0.954419
1138	-0.852139
1139	-0.852139
1140	-0.819204
1141	-0.819204
1142	-1.03082
1143	-1.03082
1144	0.477577
1145	0.477577
1146	-0.889315
1147	-0.889315
1148	0.814653
1149	0.814653
1150	1.09486
1151	1.09486
1152	-1.13347
1153	-1.13347
1154	0.79657
1155	0.79657
1156	-0.963564
1157	-0.963564
1158	-0.949033
1159	-0.949033
1160	0.590294
1161	0.590294
1162	-1.1704
1163	-1.1704
1164	0.660529
1165	0.660529
1166	-1.06064
1167	-1.06064
1168	-1.02161
1169	-1.02161
1170	0.950596
1171	0.950596
1172	1.18829
1173	1.18829
1174	1.2665
1175	1.2665
1176	1.2493
1177	1.2493
1178	-0.646665
1179	-0.646665
1180	0.964231
1181	0.964231
1182	1.0693
1183	1.0693
1184	-0.765078
1185	-0.765078
1186	1.01153
1187	1.01153
1188	0.830531
1189	0.830531
1190	-0.75183
1191	-0.75183
1192	-0.926695
1193	-0.926695
1194	-0.682261
1195	-0.682261
1196	0.86952
1197	0.86952
1198	-1.03115
1199	-1.03115
1200	1.02178
1201	1.02178
1202	-0.650203
1203	-0.650203
1204	-0.655901
1205	-0.655901
1206	0.748809
1207	0.748809
1208	-0.746279
1209	-0.746279
1210	0.719586
1211	0.719586
1212	-0.868078
1213	-0.868078
1214	-1.11279
1215	-1.11279
1216	1.03079
1217	1.03079
1218	0.708383
1219	0.708383
1220	0.790659
1221	0.790659
1222	-1.05438
1223	-1.05438
1224	-0.909571
1225	-0.909571
1226	-0.480084
1227	-0.480084
1228	-1.10837
1229	-1.10837
1230	1.07123
1231	1.07123
1232	1.21571
1233	1.21571
1234	-0.931434
1235	-0.931434
1236	-1.02365
1237	-1.02365
1238	0.540465
1239	0.540465
1240	0.985169
1241	0.985169
1242	-1.16969
1243	-1.16969
1244	0.935666
1245	0.935666
1246	-0.906841
1247	-0.906841
1248	0.931918
1249	0.931918
1250	0.826007
1251	0.826007
1252	-0.964308
1253	-0.964308
1254	1.07123
1255	1.07123
1256	-0.922241
1257	-0.922241
1258	1.09064
1259	1.09064
1260	1.04199
1261	1.04199
1262	1.1166
1263	1.1166
1264	0.910389
1265	0.910389
1266	0.284619
1267	0.284619
1268	1.17569
1269	1.17569
1270	-0.847887
1271	-0.847887
1272	-0.901063
1273	-0.901063
1274	0.671165
1275	0.671165
1276	-0.225674
1277	-0.225674
1278	-1.1306
1279	-1.1306
1280	-0.66101
1281	-0.66101
1282	-0.800536
1283	-0.800536
1284	0.992601
1285	0.992601
1286	0.859718
1287	0.859718
1288	1.20736
1289	1.20736
1290	0.558787
1291	0.558787
1292	1.01694
1293	1.01694
1294	-0.813216
1295	-0.813216
1296	0.826679
1297	0.826679
1298	1.10545
1299	1.10545
1300	-0.621523
1301	-0.621523
1302	-1.26373
1303	-1.26373
1304	-0.963807
1305	-0.963807
1306	1.28463
1307	1.28463
1308	0.543829
1309	0.543829
1310	0.864956
1311	0.864956
1312	1.08884
1313	1.08884
1314	-1.22476
1315	-1.22476
1316	1.17403
1317	1.17403
1318	0.34112
1319	0.34112
1320	1.09081
1321	1.09081
1322	1.17169
1323	1.17169
1324	-1.24407
1325	-1.24407
1326	-0.444851
1327	-0.444851
1328	0.962511
1329	0.962511
1330	1.15269
1331	1.15269
1332	0.712197
1333	0.712197
1334	-0.817102
1335	-0.817102
1336	-0.951756
1337	-0.951756
1338	-1.22575
1339	-1.22575
1340	-1.04145
1341	-1.04145
1342	1.07041
1343	1.07041
1344	-0.712084
1345	-0.712084
1346	-1.03656
1347	-1.03656
1348	1.1818
1349	1.1818
1350	-0.948003
1351	-0.948003
1352	0.638853
1353	0.638853
1354	-0.894564
1355	-0.894564
1356	-1.1851
1357	-1.1851
1358	0.730758
1359	0.730758
1360	-0.954741
1361	-0.954741
1362	-0.952265
1363	-0.952265
1364	-1.07033
1365	-1.07033
1366	-0.857326
1367	-0.857326
1368	1.02063
1369	1.02063
1370	-0.976446
1371	-0.976446
1372	0.870688
1373	0.870688
1374	-0.805267
1375	-0.805267
1376	1.20362
1377	1.20362
1378	1.18145
1379	1.18145
1380	-0.958305
1381	-0.958305
1382	0.771742
1383	0.771742
1384	-1.01609
1385	-1.01609
1386	0.944914
1387	0.944914
1388	-0.91247
1389	-0.91247
1390	1.0361
1391	1.0361
1392	0.6051
1393	0.6051
1394	-0.972971
1395	-0.972971
1396	0.859919
1397	0.859919
1398	1.18346
1399	1.18346
1400	-1.04059
1401	-1.04059
1402	-1.0182
1403	-1.0182
1404	0.949333
1405	0.949333
1406	0.979708
1407	0.979708
1408	1.08222
1409	1.08222
1410	-0.646858
1411	-0.646858
1412	1.16534
1413	1.16534
1414	1.15766
1415	1.15766
1416	0.968405
1417	0.968405
1418	-1.07095
1419	-1.07095
1420	1.12771
1421	1.12771
1422	-0.955914
1423	-0.955914
1424	1.10646
1425	1.10646
1426	1.0936
1427	1.0936
1428	1.1133
1429	1.1133
1430	1.1682
1431	1.1682
1432	0.934012
1433	0.934012
1434	-0.75527
1435	-0.75527
1436	-0.954603
1437	-0.954603
1438	0.833424
1439	0.833424
1440	1.01808
1441	1.01808
1442	1.1664
1443	1.1664
1444	-1.15145
1445	-1.15145
1446	0.9947
1447	0.9947
1448	-0.965228
1449	-0.965228
1450	-0.627606
1451	-0.627606
1452	0.857746
1453	0.857746
1454	0.761963
1455	0.761963
1456	1.07714
1457	1.07714
1458	0.87819
1459	0.87819
1460	1.01799
1461	1.01799
1462	0.994485
1463	0.994485
1464	-0.408197
1465	-0.408197
1466	1.01925
1467	1.01925
1468	0.187061
1469	0.187061
1470	0.701691
1471	0.701691
1472	0.876615
1473	0.876615
1474	0.825114
1475	0.825114
1476	-0.711158
1477	-0.711158
1478	0.584488
1479	0.584488
1480	0.695243
1481	0.695243
1482	-1.19842
1483	-1.19842
1484	-1.02572
1485	-1.02572
1486	0.501797
1487	0.501797
1488	0.99321
1489	0.99321
1490	-0.948013
1491	-0.948013
1492	-0.83351
1493	-0.83351
1494	-0.926489
1495	-0.926489
1496	0.992063
1497	0.992063
1498	-1.01298
1499	-1.01298
1500	-0.786928
1501	-0.786928
1502	0.854509
1503	0.854509
1504	-0.86018
1505	-0.86018
1506	0.894439
1507	0.894439
1508	-1.12169
1509	-1.12169
1510	-1.03349
1511	-1.03349
1512	0.776045
1513	0.776045
1514	1.17115
1515	1.17115
1516	-0.835429
1517	-0.835429
1518	-0.511815
1519	-0.511815
1520	1.04275
1521	1.04275
1522	0.980227
1523	0.980227
1524	1.14326
1525	1.14326
1526	-0.0896298
1527	-0.0896298
1528	-0.692226
1529	-0.692226
1530	0.736457
1531	0.736457
1532	0.728362
1533	0.728362
1534	-0.292057
1535	-0.292057
1536	1.12411
1537	1.12411
1538	1.0432
1539	1.0432
1540	-0.687736
1541	-0.687736
1542	0.731499
1543	0.731499
1544	1.01213
1545	1.01213
1546	0.650261
1547	0.650261
1548	1.28147
1549	1.28147
1550	1.24901
1551	1.24901
1552	0.952596
1553	0.952596
1554	1.25302
1555	1.25302
1556	-0.995653
1557	-0.995653
1558	-0.709839
1559	-0.709839
1560	0.752733
1561	0.752733
1562	1.05699
1563	1.05699
1564	0.554594
1565	0.554594
1566	0.707623
1567	0.707623
1568	-0.443573
1569	-0.443573
1570	0.959699
1571	0.959699
1572	-0.722845
1573	-0.722845
1574	0.927664
1575	0.927664
1576	1.04037
1577	1.04037
1578	0.384591
1579	0.384591
1580	-0.560362
1581	-0.560362
1582	-1.05702
1583	-1.05702
1584	0.3527
1585	0.3527
1586	1.01247
1587	1.01247
1588	0.490185
1589	0.490185
1590	0.224255
1591	0.224255
1592	-0.527785
1593	-0.527785
1594	-0.00711425
1595	-0.00711425
1596	1.15854
1597	1.15854
1598	1.08346
1599	1.08346
1600	-1.01824
1601	-1.01824
1602	0.519373
1603	0.519373
1604	1.1296
1605	1.1296
1606	-1.04733
1607	-1.04733
1608	-1.04511
1609	-1.04511
1610	-1.11017
1611	-1.11017
1612	1.2753
1613	1.2753
1614	0.97111
1615	0.97111
1616	0.966275
1617	0.966275
1618	-1.03035
1619	-1.03035
1620	1.11819
1621	1.11819
1622	-0.753352
1623	-0.753352
1624	-0.798507
1625	-0.798507
1626	1.37538
1627	1.37538
1628	-0.979012
1629	-0.979012
1630	1.06293
1631	1.06293
1632	-1.09936
1633	-1.09936
1634	-0.476068
1635	-0.476068
1636	-0.702401
1637	-0.702401
1638	-1.13022
1639	-1.13022
1640	-0.757016
1641	-0.757016
1642	1.05513
1643	1.05513
1644	0.632923
1645	0.632923
1646	0.791996
1647	0.791996
1648	-0.854836
1649	-0.854836
1650	-1.13398
1651	-1.13398
1652	1.20636
1653	1.20636
1654	0.983602
1655	0.983602
1656	0.741692
1657	0.741692
1658	1.14938
1659	1.14938
1660	-0.932555
1661	-0.932555
1662	1.20799
1663	1.20799
1664	1.00305
1665	1.00305
1666	0.963587
1667	0.963587
1668	1.09833
1669	1.09833
1670	1.0322
1671	1.0322
1672	-0.95846
1673	-0.95846
1674	1.14869
1675	1.14869
1676	-0.608608
1677	-0.608608
1678	0.987502
1679	0.987502
1680	0.782543
1681	0.782543
1682	1.10014
1683	1.10014
1684	0.825502
1685	0.825502
1686	-1.19771
1687	-1.19771
1688	1.12811
1689	1.12811
1690	0.788025
1691	0.788025
1692	-1.24111
1693	-1.24111
1694	1.27192
1695	1.27192
1696	-1.10571
1697	-1.10571
1698	0.72165
1699	0.72165
1700	1.1937
1701	1.1937
1702	-0.900403
1703	-0.900403
1704	0.963071
1705	0.963071
1706	-0.988218
1707	-0.988218
1708	1.19487
1709	1.19487
1710	0.886541
1711	0.886541
1712	-1.13622
1713	-1.13622
1714	0.831327
1715	0.831327
1716	-1.19133
1717	-1.19133
1718	0.942527
1719	0.942527
1720	0.985674
1721	0.985674
1722	-0.867831
1723	-0.867831
1724	0.803324
1725	0.803324
1726	-1.12638
1727	-1.12638
1728	-1.02705
1729	-1.02705
1730	0.954226
1731	0.954226
1732	-0.990587
1733	-0.990587
1734	0.864523
1735	0.864523
1736	-1.00917
1737	-1.00917
1738	-1.09289
1739	-1.09289
1740	0.979734
1741	0.979734
1742	1.11817
1743	1.11817
1744	-1.18892
1745	-1.18892
1746	-0.872002
1747	-0.872002
1748	-1.16652
1749	-1.16652
1750	-0.820356
1751	-0.820356
1752	1.14573
1753	1.14573
1754	-0.950548
1755	-0.950548
1756	-1.10381
1757	-1.10381
1758	0.801092
1759	0.801092
1760	-1.23645
1761	-1.23645
1762	0.884062
1763	0.884062
1764	-0.723266
1765	-0.723266
1766	-1.0693
